strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bangkok/P3599/2023,1.06,1.05,1.08,206.6,128.7,0.2909,619.3,25,9,8
A/Bangkok/P3755/2023,1.08,1.06,1.1,160.8,90.8,0.4727,526.8,24,11,10
A/Bhutan/0845/2023,1.09,1.08,1.1,151.4,85.07,0.5091,493.3,23,10,8
A/Busan/1301/2023,0.94,0.92,0.96,244,155.3,0.1607,798.3,11,3,3
A/Catalonia/2041146NS/2023,0.97,0.96,0.99,173.5,100.3,0.4364,613.2,14,6,5
A/EHIME/50/2023,0.92,0.9,0.94,145.4,92.79,0.4545,485.6,15,6,6
A/Finland/391/2023,0.91,0.91,0.92,228,143.4,0.2143,628,11,6,6
A/Georgia/40/2023,1.06,1.04,1.08,166.6,108.8,0.4364,477.5,21,9,8
A/Jeju/1047/2023,0.87,0.86,0.89,208.1,129.8,0.2321,695.8,11,3,3
A/Malaysia/IMR-SARI1989/2023,1.02,1.01,1.03,195.9,135.9,0.3455,492.8,23,9,8
A/Netherlands/01693/2023,1.05,1.03,1.06,209.1,117.4,0.2727,560.9,24,11,10
A/Oman/3011/2023,1,0.98,1.01,182.8,112.4,0.4,571.6,21,9,8
A/Ontario/RV00796/2023,1.17,1.16,1.18,174.5,104.2,0.4464,610.8,24,10,9
A/SENDAI/45/2023,0.9,0.89,0.91,197.6,138.9,0.1964,560.4,16,6,5
A/Saint-Petersburg/RII-166/2023,1.07,1.06,1.08,160.4,96.86,0.4643,524.2,26,10,9
A/Schleswig-Holstein/4/2023,0.9,0.89,0.91,204,144.3,0.2321,650.7,14,5,5
A/Solwezi/13-NIC-001/2023,1.01,1,1.02,165,99.02,0.4643,666.7,25,10,9
A/SouthDakota/22/2023,0.86,0.82,0.88,157.1,101.7,0.4,465.8,12,4,4
A/Sydney/332/2023,1,1,1.01,204.5,130.4,0.3091,600.1,21,9,8
A/TECPAN/017FLU/2023,0.94,0.92,0.95,155.5,98.06,0.4364,531.4,12,5,4
A/Victoria/1033/2023,1.03,1.02,1.05,177.6,118.9,0.3818,484.9,20,9,8
A/Massachusetts/18/2022,1,1,1,193.4,126.3,0.3929,553.4,20,8,7
