variant,date,sequences
A/Abu_Dhabi/6753/2023,2022-09-28,1
A/Abu_Dhabi/6753/2023,2022-12-01,1
A/Abu_Dhabi/6753/2023,2022-12-22,1
A/Abu_Dhabi/6753/2023,2023-06-06,1
A/Abu_Dhabi/6753/2023,2023-08-21,1
A/Bangkok/P3599/2023,2023-06-26,1
A/Bangkok/P3599/2023,2023-06-30,1
A/Bangkok/P3599/2023,2023-07-27,1
A/Bangkok/P3599/2023,2023-08-05,1
A/Bangkok/P3599/2023,2023-08-16,1
A/Bangkok/P3599/2023,2023-08-21,1
A/Bangkok/P3599/2023,2023-08-23,1
A/Bangkok/P3599/2023,2023-08-28,1
A/Bangkok/P3599/2023,2023-09-02,1
A/Bangkok/P3599/2023,2023-09-04,1
A/Bangkok/P3599/2023,2023-09-12,1
A/Bangkok/P3599/2023,2023-09-20,1
A/Bangkok/P3599/2023,2023-09-24,1
A/Bangkok/P3599/2023,2023-09-25,2
A/Bangkok/P3599/2023,2023-09-26,1
A/Bangkok/P3599/2023,2023-09-27,2
A/Bangkok/P3599/2023,2023-10-02,2
A/Bangkok/P3599/2023,2023-10-16,1
A/Bangkok/P3599/2023,2023-10-18,1
A/Bangkok/P3599/2023,2023-10-26,1
A/Bangkok/P3599/2023,2023-11-01,1
A/Bangkok/P3599/2023,2023-11-03,1
A/Bangkok/P3599/2023,2023-11-08,1
A/Bangkok/P3599/2023,2023-11-10,1
A/Bangkok/P3599/2023,2023-11-16,1
A/Bangkok/P3599/2023,2023-11-21,1
A/Bangkok/P3599/2023,2023-11-27,1
A/Bangkok/P3599/2023,2023-11-29,1
A/Bangkok/P3599/2023,2023-12-14,1
A/Bangkok/P3599/2023,2024-01-18,1
A/Bangkok/P3599/2023,2024-01-25,1
A/Bangkok/P3755/2023,2023-08-08,1
A/Bangkok/P3755/2023,2023-08-09,1
A/Bangkok/P3755/2023,2023-08-11,1
A/Bangkok/P3755/2023,2023-09-05,1
A/Bangkok/P3755/2023,2023-09-07,4
A/Bangkok/P3755/2023,2023-09-11,1
A/Bangkok/P3755/2023,2023-09-18,1
A/Bangkok/P3755/2023,2023-09-19,3
A/Bangkok/P3755/2023,2023-09-21,1
